title,journal,year,keywords
"Extraction and analysis of non-volatile memory of the ZW0301 module, a Z-Wave transceiver",Digital Investigation,2016,"Z-Wave, Wireless, Embedded systems, Internet of Things forensic analysis, IoT forensics"
Remote Navigation of Turtle by Controlling Instinct Behavior via Human Brain-computer Interface,Journal of Bionic Engineering,2016,"brain-computer interface, turtle (), remote navigation, instinct behaviour, escape behaviour"
The construction of smart city information system based on the internet of things and cloud computing,Computer Communications,2019,"Cloud computing, Internet of things, Smart city, Information isolated island"
Intellectual property and patent prospecting as a basis for knowledge and innovation – a study on mobile information technologies and virtual processes of communication and management,RAI Revista de Administração e Inovação,2017,"Intellectual property, Mobile information technologies, Communication, Management"
Design museum futures: Catalysts for education,Futures,2017,"Museum, Design, Futures, Temporality, Transdisciplinary, History"
Preference Elicitation and Reasoning While Smart Shifting of Home Appliances,Energy Procedia,2015,"preferences, smart houses"
Location-based mobility support for 6LoWPAN wireless sensor networks,Journal of Network and Computer Applications,2015,"6LoWPAN wireless sensor network, Location information, Cluster domain, Mobility handover, Architecture"
Challenges and Solutions for Applications and Technologies in the Internet of Things,Procedia Computer Science,2017,"Internet of Things (IoT), IoT Innovation, Challenges, IoT direction"
Internet of Things applications: A systematic review,Computer Networks,2019,"Application-based services, Internet of things, Systematic literature review, Smart objects, Quality of service"
A robust human activity recognition system using smartphone sensors and deep learning,Future Generation Computer Systems,2018,"Activity recognition, Sensors, Smartphones, Deep belief network"
Data-Driven Reachability Analysis for the Reconfiguration of Vehicle Control Systems,IFAC-PapersOnLine,2018,"reconfiguration strategy, big data analysis, autonomous vehicle systems"
Semantic Interoperability for Coalition Creation by Mobile Robots and Humans: an Approach and Case Study,IFAC-PapersOnLine,2018,"Ontology, interoperability, robotics, coalitions, contest, interaction"
Handoff Decision for Multi-user Multi-class Traffic in MIMO-LTE-A Networks,Procedia Computer Science,2016,"LTE-A Network, Handoffs, Benefit function, Utility Function, Penalty Function, Vertical handover decision"
Detecting Phishing Websites via Aggregation Analysis of Page Layouts,Procedia Computer Science,2018,"Anti-phishing, Web security, Machine learning, Aggregation analysis"
A Wide Area Service Oriented Architecture Design for Plug and Play of Power Grid Equipment,Procedia Computer Science,2018,"Wide-area Service Oriented Architecture (WSOA), power grid equipment, plug, play"
One-Time-Username: A Threshold-based Authentication System,Procedia Computer Science,2018,"Security, Authentication, Threshold Cryptosystem, One-Time Username, RSA, Access Control"
Workshop Synthesis: New developments in travel diary collection systems based on smartphones and GPS receivers,Transportation Research Procedia,2018,"travel surveys, current status, semantics, performance, usability, applications"
Analysis of Opinion Evolution in a Multi-cultural Student Social Network,Procedia Manufacturing,2015,"Evolution of opinions, Multi-cultural networks, Spread of opinion models"
Personalization of wellness recommendations using contextual interpretation,Expert Systems with Applications,2018,"Context-aware recommendation, Physical activity recommendation system, Personalized recommendation, Precise recommendation, Knowledge-based system"
Security enhancement on an RFID ownership transfer protocol based on cloud,Future Generation Computer Systems,2019,"Authentication, Cloud computing, Ownership transfer, Quadratic residue, RFID"
Redistributed manufacturing of spare parts: an agent-based modelling approach,Procedia CIRP,2019,"redistributed manufacturing, product service system, agent-based modelling"
An applications interoperability model for heterogeneous internet of things environments,Computers & Electrical Engineering,2017,"Smart Objects, Internet of Things, CoAP, Interoperability, REST, 6LoWPAN"
Application of Augmented Reality Techniques in Through-life Engineering Services,Procedia CIRP,2015,"Augmented Reality, Through-life Engineering"
A Novel VANET Data Dissemination Approach Based on Geospatial Data,Procedia Computer Science,2016,"Vanet Networks, Map Splitting, Data Dissemination, ZOR, Geocast."
What kind of world do we want to help make with our theories?,Information and Organization,2017,
"Cryptographic system for data applications, in the context of internet of things",Microprocessors and Microsystems,2020,"Internet of things (IoT), AES, UDOO Neo board, GCM, GMAC, One time passwords (OTP), Two factor authentication, Security system"
"Differences in smartphone usage: Validating, evaluating, and predicting mobile user intimacy",Pervasive and Mobile Computing,2016,"User smartphone engagement, User context, User location, People around user, RPC ranking classification"
Imaging and fusing time series for wearable sensor-based human activity recognition,Information Fusion,2020,"Body sensor networks, Human activity recognition, Deep residual network, Multi-sensor data fusion"
Trust Model for Measuring Security Strength of Cloud Computing Service,Procedia Computer Science,2015,"Cloud Computing, Trust, Trust model, Security ;"
Human behavior monitoring using a passive indoor positioning system: a case study in a SME,Procedia Computer Science,2017,"Indoor localization, behavior analysis, machine learning, case study"
Cognitive Sensor Technology for Structural Health Monitoring,Procedia Structural Integrity,2017,"cognitive architecture, dynamic artificial neural network, Structural Health Monitoring, evolved systems"
Smart dissemination and exploitation mobile services for carnival events,Procedia Computer Science,2017,"mobile services, intelligent cultural environments, crowd-sourcing, carnival events, mobile location-based social networks"
The Internet of Things (IoT) and its impact on individual privacy: An Australian perspective,Computer Law & Security Review,2016,"Australian Privacy Principles (APPs), Authentication, Hacking risk, Individual privacy, Internet of Things, Privacy legislation, Security, Surveillance and ubiquity"
Design and Fabrication of a Capacitance Based Wearable Pressure Sensor Using E-textiles,Procedia Technology,2015,"E-textiles, Capacitance, Wearable Technology, Pressure, Sensor."
"Record, Evaluation and Planning of Knowledge Work Experiences on Personal Research Environments via Life Logging System",Procedia - Social and Behavioral Sciences,2015,"Life logging, personal research environments, recording knowledge work experiences, managing knowledge work experiences."
A Review of Senescent's Motivation in the Use of Tactile Devices,Procedia Computer Science,2015,"Elderly, Senescent, User centered design, Human Factors, Input devices"
Contemplating human-centred security & privacy research: Suggesting future directions,Journal of Information Security and Applications,2017,
Type 2 diabetes can undermine driving performance of middle-aged male drivers through its deterioration of perceptual and cognitive functions,Accident Analysis & Prevention,2020,"Type 2 diabetes, Non-hypoglycemia, Driving performance, Perceptual and cognitive functions"
Multi-goal Pathfinding in Cyber-Physical-Social Environments: Multi-layer Search over a Semantic Knowledge Graph,Procedia Computer Science,2017,"Multi-goal Pathfinding, Search algorithms, Semantic Web, Cyber-Physical-Social environment"
Security Policies for Intelligent Health Care Environment,Procedia Computer Science,2016,"Sensor, Security, Ontology, SWRL, attacks"
Tracking Elite Swimmers in Real Time with Wearable Low-power Wireless Sensor Networks,Procedia Engineering,2016,"swimming, inertial sensors, sensor networks, wireless, tracking, motion, low-power"
Towards Realizing Cybermanufacturing Kiosks: Quality Assurance Challenges and Opportunities,Procedia Manufacturing,2018,"cyberphysical systems, laser kirigami, ArUco markers, pose estimation, real-time control"
Continuous monitoring seed testing equipaments using internet of things,Computers and Electronics in Agriculture,2019,"Seed analysis, Middleware, Internet of things, Context awareness"
